customer_id,first_name,last_name,email,signup_date,region,acquisition_cahnnel,is_active
1,Casey,Davis,casey.davis0540@realemail.com,2020-03-11,UK,Referral,false
2,Casey,Anderson,casey.anderson9724@realemail.com,2020-10-05,EU,Paid Social,true
3,Jesse,Garcia,jesse.garcia7244@realemail.com,2021-11-04,UK,Organic Search,false
4,Taylor,Hernandez,taylor.hernandez7325@realemail.com,2021-10-30,IN,Paid Social,true
5,Cameron,Anderson,cameron.anderson8698@realemail.com,2021-02-09,CA,Paid Social,true
6,Taylor,Martinez,taylor.martinez0665@realemail.com,2023-06-22,IN,Email,true
7,Sage,Jackson,sage.jackson7252@realemail.com,2023-02-07,AU,Referral,true
8,Casey,Wilson,casey.wilson6776@realemail.com,2022-01-21,AU,Organic Search,true
9,Jamie,Rodriguez,jamie.rodriguez5211@realemail.com,2023-08-15,AU,Referral,true
10,Elliot,Moore,elliot.moore3736@realemail.com,2021-12-07,EU,Direct,true
11,Jordan,Martin,jordan.martin8024@realemail.com,2022-09-10,AU,Referral,true
12,Rowan,Jackson,rowan.jackson2975@realemail.com,2023-02-18,AU,Referral,true
13,Avery,Williams,avery.williams7071@realemail.com,2023-09-23,IN,Organic Search,true
14,Skyler,Garcia,skyler.garcia0174@realemail.com,2022-11-22,US,Influencer,false
15,Sam,Wilson,sam.wilson9153@realemail.com,2020-08-28,CA,Influencer,true
16,Alex,Thomas,alex.thomas1501@realemail.com,2021-09-30,US,Organic Search,true
17,Quinn,Brown,quinn.brown5051@realemail.com,2022-03-23,EU,Influencer,false
18,Logan,Johnson,logan.johnson4468@realemail.com,2024-09-06,EU,Direct,true
19,Hayden,Jones,hayden.jones4995@realemail.com,2023-09-03,AU,Referral,true
20,Sam,Lopez,sam.lopez3861@realemail.com,2021-03-07,AU,Email,true
21,Elliot,Martin,elliot.martin4700@realemail.com,2024-01-28,EU,Email,true
22,Logan,Hernandez,logan.hernandez4666@realemail.com,2024-10-10,IN,Influencer,true
23,Hayden,Brown,hayden.brown4008@realemail.com,2024-02-26,EU,Organic Search,false
24,Jamie,Gonzalez,jamie.gonzalez6084@realemail.com,2024-12-09,AU,Influencer,true
25,Morgan,Williams,morgan.williams7554@realemail.com,2022-06-04,AU,Referral,true
26,Kai,Williams,kai.williams9729@realemail.com,2022-07-20,EU,Referral,true
27,Casey,Williams,casey.williams1871@realemail.com,2022-05-15,UK,Direct,true
28,Kai,Gonzalez,kai.gonzalez9870@realemail.com,2022-11-08,AU,Organic Search,false
29,Sage,Lopez,sage.lopez9980@realemail.com,2020-02-18,IN,Influencer,false
30,Rowan,Lopez,rowan.lopez7228@realemail.com,2024-07-24,US,Paid Social,true
31,Morgan,Wilson,morgan.wilson7909@realemail.com,2021-06-27,EU,Organic Search,true
32,Hayden,Wilson,hayden.wilson2509@realemail.com,2023-03-01,EU,Referral,true
33,Alex,Johnson,alex.johnson4817@realemail.com,2021-07-15,UK,Organic Search,true
34,Elliot,Anderson,elliot.anderson7250@realemail.com,2021-01-24,EU,Paid Social,true
35,Jamie,Moore,jamie.moore4040@realemail.com,2021-06-25,AU,Paid Social,false
36,Sam,Martinez,sam.martinez0566@realemail.com,2023-09-28,IN,Email,true
37,Alex,Hernandez,alex.hernandez0372@realemail.com,2020-02-06,US,Email,true
38,Jordan,Wilson,jordan.wilson9177@realemail.com,2024-06-16,CA,Direct,true
39,Skyler,Moore,skyler.moore9116@realemail.com,2024-01-25,EU,Direct,true
40,Taylor,Williams,taylor.williams3697@realemail.com,2023-02-19,US,Paid Social,true
41,Drew,Hernandez,drew.hernandez0506@realemail.com,2023-08-12,IN,Influencer,true
42,Riley,Thomas,riley.thomas7106@realemail.com,2024-05-12,AU,Email,true
43,Logan,Martinez,logan.martinez3105@realemail.com,2020-01-25,AU,Organic Search,true
44,Quinn,Gonzalez,quinn.gonzalez1261@realemail.com,2024-11-03,UK,Organic Search,false
45,Cameron,Williams,cameron.williams6798@realemail.com,2023-05-02,IN,Referral,true
46,Jesse,Wilson,jesse.wilson6820@realemail.com,2021-09-21,AU,Direct,true
47,Rowan,Martin,rowan.martin0964@realemail.com,2021-12-28,CA,Direct,true
48,Avery,Brown,avery.brown9965@realemail.com,2022-12-01,IN,Influencer,true
49,Quinn,Taylor,quinn.taylor2090@realemail.com,2022-10-03,US,Organic Search,true
50,Skyler,Martinez,skyler.martinez1167@realemail.com,2020-05-07,EU,Paid Social,true
51,Casey,Thomas,casey.thomas7206@realemail.com,2023-01-17,UK,Referral,true
52,Riley,Moore,riley.moore7786@realemail.com,2023-01-30,AU,Influencer,true
53,Alex,Jackson,alex.jackson3673@realemail.com,2022-09-14,AU,Direct,true
54,Logan,Lopez,logan.lopez6447@realemail.com,2021-10-24,IN,Paid Social,true
55,Jordan,Thomas,jordan.thomas5141@realemail.com,2023-06-21,AU,Influencer,false
56,Sage,Brown,sage.brown2412@realemail.com,2024-09-04,IN,Direct,true
57,Quinn,Jackson,quinn.jackson0066@realemail.com,2024-11-08,CA,Email,true
58,Quinn,Lopez,quinn.lopez0817@realemail.com,2024-09-29,CA,Organic Search,true
59,Skyler,Martin,skyler.martin2496@realemail.com,2020-12-11,CA,Influencer,false
60,Drew,Jackson,drew.jackson2492@realemail.com,2023-08-14,CA,Referral,true
61,Kai,Moore,kai.moore7022@realemail.com,2024-01-01,EU,Organic Search,true
62,Jordan,Martinez,jordan.martinez7365@realemail.com,2023-08-14,AU,Influencer,false
